Node,Label,Community,degree,betweenness,closeness,eigenvector,core,Mito
n22,HOG0001539,0,0.003341687552213868,3.368122661478655e-05,0.30238726790450926,0.00019277014481215314,8,False
n23,HOG0001540,1,0.005430242272347535,0.00019790730662431178,0.29698548567175287,1.0538396606950038e-05,11,False
n24,HOG0001546,1,0.03592314118629908,0.001167250082657475,0.3481675392670157,0.00010869925181742172,45,False
n25,HOG0001548,3,0.06307435254803676,0.0021186489306046674,0.38,0.045769522256864294,68,False
n26,HOG0001550,2,0.07309941520467836,0.02106512634967514,0.4,0.02452865055986539,50,False
n27,HOG0001563,2,0.01670843776106934,0.004747175118438288,0.3695585057116394,0.004895163376888535,26,False
n28,HOG0001589,3,0.005012531328320802,9.685258437683398e-06,0.31335078534031413,0.0038418549395283935,11,False
n29,HOG0001594,5,0.013784461152882205,0.002701019601508937,0.32039614561027835,0.0001066340360384081,14,False
n30,HOG0001607,0,0.003341687552213868,8.986751480577699e-05,0.3020058029519364,0.00014298944071312425,7,False
n31,HOG0001610,2,0.012949039264828738,0.00022688095998241804,0.3462539774370842,0.0030708115409737754,28,False
n32,HOG0001611,3,0.005847953216374269,0.0017896244123744756,0.3216444981862152,0.0013668632867264393,7,False
n33,HOG0001722,0,0.02172096908939014,0.00013516104106508063,0.3258029395753947,0.002152914529397487,38,False
n34,HOG0001728,4,0.0020885547201336674,3.076153585090463e-06,0.28619246861924685,3.1976814019674075e-05,5,False
n35,HOG0001903,3,0.009189640768588136,0.00011965652582853398,0.3184781162697885,0.004756213350753632,18,False
n36,HOG0001904,0,0.06975772765246449,0.01525751044303605,0.3886994641987336,0.017994133391177627,50,False
n37,HOG0001921,3,0.018379281537176273,0.00017693117274231076,0.3332869274676319,0.011451164468349626,32,False
n38,HOG0002057,1,0.03258145363408521,0.0011820363200714366,0.356303021282929,0.00018920234076319194,44,False
n39,HOG0002058,3,0.006683375104427736,4.6100821033428e-05,0.32447817836812143,0.004830114306320163,15,False
n40,HOG0002063,3,0.05054302422723475,0.0004960980277543247,0.3658312958435208,0.04881897020368537,69,False
n41,HOG0002065,3,0.0772765246449457,0.005100189385028444,0.3844547936405974,0.05507177059254201,69,False
n42,HOG0002096,3,0.008771929824561403,8.605721215220369e-05,0.3229897463572585,0.004353629467266633,19,False
n43,HOG0002141,4,0.004177109440267335,9.786259682756913e-05,0.2733812949640288,3.805400161281439e-06,7,False
n44,HOG0002149,2,0.04887218045112782,0.002827405582862136,0.3687615526802218,0.028881858993698134,51,False
n45,HOG0002159,5,0.046365914786967416,0.001261134662327661,0.3625075711689885,0.012082362299038116,45,False
n46,HOG0002160,1,0.010025062656641603,0.00032315281293760173,0.2964338781575037,1.1623229022539947e-05,16,False
n47,HOG0002166,1,0.014619883040935672,0.003977923822582227,0.34327502150846,0.00032978913679922774,22,False
n48,HOG0002169,2,0.018379281537176273,0.0015995332141640931,0.342685370741483,0.002356118179359713,22,False
n49,HOG0002185,0,0.00835421888053467,0.0005806705457893481,0.32264150943396225,0.00023365016889778038,14,False
n50,HOG0002202,5,0.005430242272347535,0.00035644744846039883,0.31928514270472125,0.0005020326415086741,10,False
n51,HOG0002233,2,0.001670843776106934,3.76408200962957e-05,0.287913409500902,7.054651414749099e-05,4,False
n52,HOG0002317,0,0.0037593984962406013,0.0001906167764272386,0.31098986749805146,0.0003740982396810986,9,False
n53,HOG0002359,0,0.006683375104427736,6.029502546626133e-05,0.30802882141019045,0.0002555549699765285,14,False
n54,HOG0002364,5,0.006683375104427736,9.830196895657147e-05,0.3095022624434389,0.000623544982679525,14,False
n55,HOG0002372,3,0.016290726817042606,0.00012337955975277268,0.33962264150943394,0.014333923827094254,36,False
n56,HOG0002414,0,0.03592314118629908,0.0008233805273065814,0.3532015343759221,0.0008602552265834761,47,False
n57,HOG0002474,1,0.001670843776106934,0.00016234592887180778,0.2693822437267919,2.5287648552079863e-06,4,False
n58,HOG0002478,5,0.00960735171261487,0.00010271423616649532,0.3198824158204169,0.0033461722702856707,18,False
n59,HOG0002491,5,0.006265664160401002,0.00010181046273829498,0.3111919927206551,0.0005112131217614829,14,False
n60,HOG0002494,3,0.03216374269005848,0.0009410846038709781,0.35487696412689,0.01845201029915669,45,False
