metric	mit_median	nuc_mean	sd_nuc	pvalue
degree	0.0371762740183793	0.0154040935672515	0.00738067094371258	0.0143
betweenness	0.00224943369803145	0.000453900044064678	0.00025254470264032	1e-04
closeness	0.363719444164824	0.328616359789008	0.0125041456141219	9e-04
eigenvector	0.00921809576762027	0.0014931809287277	0.00244528701647803	0.0189
